Year,Month,Division,District,Crime Type,Reported Number,Division_legends,District_legends,,
2011,3,6,Ghotki,Murder during dacoity/robbery,0,,,,
2011,3,6,Ghotki,Highway dacoity/robbery,0,,,,
2011,3,6,Ghotki,Bank dacoity/robbery,0,,,,
2011,3,6,Ghotki,Car snatching,0,,,,
2011,3,6,Khairpur,Murder,16,,,,
2011,3,6,Khairpur,Murder in the form of target killing,0,,,,
2011,3,6,Khairpur,Murder during dacoity/robbery,0,,,,
2011,3,6,Khairpur,Highway dacoity/robbery,3,,,,
2011,3,6,Khairpur,Bank dacoity/robbery,0,,,,
2011,3,6,Khairpur,Car snatching,0,,,,
2011,3,6,N. Feroze,Murder,5,,,,
2011,3,6,N. Feroze,Murder in the form of target killing,0,,,,
2011,3,6,N. Feroze,Murder during dacoity/robbery,0,,,,
2011,3,6,N. Feroze,Highway dacoity/robbery,0,,,,
2011,3,6,N. Feroze,Bank dacoity/robbery,0,,,,
2011,3,6,N. Feroze,Car snatching,0,,,,
2011,3,6,Shikarpur,Murder,9,,,,
2011,3,6,Shikarpur,Murder in the form of target killing,0,,,,
2011,3,6,Shikarpur,Murder during dacoity/robbery,0,,,,
2011,3,6,Shikarpur,Highway dacoity/robbery,1,,,,
2011,3,6,Shikarpur,Bank dacoity/robbery,0,,,,
2011,3,6,Shikarpur,Car snatching,0,,,,
2011,3,6,Larkana,Murder,6,,,,
2011,3,6,Larkana,Murder in the form of target killing,0,,,,
2011,3,6,Larkana,Murder during dacoity/robbery,0,,,,
2011,3,6,Larkana,Highway dacoity/robbery,0,,,,
2011,3,6,Larkana,Bank dacoity/robbery,0,,,,
2011,3,6,Larkana,Car snatching,0,,,,
2011,3,6,Kamber Shahdadkot,Murder,9,,,,
2011,3,6,Kamber Shahdadkot,Murder in the form of target killing,0,,,,
2011,3,6,Kamber Shahdadkot,Murder during dacoity/robbery,0,,,,
2011,3,6,Kamber Shahdadkot,Highway dacoity/robbery,0,,,,
2011,3,6,Kamber Shahdadkot,Bank dacoity/robbery,0,,,,
2011,3,6,Kamber Shahdadkot,Car snatching,1,,,,
2011,3,6,Jacobabad,Murder,6,,,,
2011,3,6,Jacobabad,Murder in the form of target killing,0,,,,
2011,3,6,Jacobabad,Murder during dacoity/robbery,0,,,,
2011,3,6,Jacobabad,Highway dacoity/robbery,0,,,,
2011,3,6,Jacobabad,Bank dacoity/robbery,0,,,,
2011,3,6,Jacobabad,Car snatching,0,,,,
2011,3,6,Kashmore,Murder,6,,,,
2011,3,6,Kashmore,Murder in the form of target killing,0,,,,
2011,3,6,Kashmore,Murder during dacoity/robbery,0,,,,
2011,3,6,Kashmore,Highway dacoity/robbery,0,,,,
2011,3,6,Kashmore,Bank dacoity/robbery,0,,,,
2011,3,6,Kashmore,Car snatching,0,,,,
2011,4,2,South Zone,Murder,32,,,,
2011,4,2,South Zone,Murder in the form of target killing,4,,,,
2011,4,2,South Zone,Murder during dacoity/robbery,4,,,,
2011,4,2,South Zone,Highway dacoity/robbery,0,,,,
2011,4,2,South Zone,Bank dacoity/robbery,1,,,,
2011,4,2,South Zone,Car snatching,8,,,,
2011,4,2,East Zone,Murder,60,,,,
2011,4,2,East Zone,Murder in the form of target killing,5,,,,
2011,4,2,East Zone,Murder during dacoity/robbery,2,,,,
2011,4,2,East Zone,Highway dacoity/robbery,3,,,,
2011,4,2,East Zone,Bank dacoity/robbery,1,,,,
2011,4,2,East Zone,Car snatching,22,,,,
2011,4,2,West Zone,Murder,36,,,,
2011,4,2,West Zone,Murder in the form of target killing,2,,,,
2011,4,2,West Zone,Murder during dacoity/robbery,1,,,,
2011,4,2,West Zone,Highway dacoity/robbery,0,,,,
2011,4,2,West Zone,Bank dacoity/robbery,0,,,,
2011,4,2,West Zone,Car snatching,14,,,,
2011,4,1,1.1,Murder,10,,,,
2011,4,1,1.1,Murder in the form of target killing,0,,,,
2011,4,1,1.1,Murder during dacoity/robbery,0,,,,
2011,4,1,1.1,Highway dacoity/robbery,0,,,,
2011,4,1,1.1,Bank dacoity/robbery,0,,,,
2011,4,1,1.1,Car snatching,0,,,,
2011,4,1,Matyari,Murder,3,,,,
2011,4,1,Matyari,Murder in the form of target killing,0,,,,
