Year,Month,Division,District,Crime Type,Reported Number,Notes
2012,July,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,July,Karachi,Central Zone,Car snatching,7,
2012,July,Karachi,Malir,Murder,22,
2012,July,Karachi,Malir,Murder in the form of target killing,5,
2012,July,Karachi,Malir,Murder during dacoity/robbery,2,
2012,July,Karachi,Malir,Highway dacoity/robbery,7,
2012,July,Karachi,Malir,Bank dacoity/robbery,0,
2012,July,Karachi,Malir,Car snatching,0,
2012,August,Karachi,South Zone,Murder,25,
2012,August,Karachi,South Zone,Murder in the form of target killing,4,
2012,August,Karachi,South Zone,Murder during dacoity/robbery,0,
2012,August,Karachi,South Zone,Highway dacoity/robbery,0,
2012,August,Karachi,South Zone,Bank dacoity/robbery,1,
2012,August,Karachi,South Zone,Car snatching,15,
2012,August,Karachi,East Zone,Murder,28,
